"id";"date";"month_name";"year";"type";"country";"area";"location";"activity";"sex";"fatal"
2882;"1996-03-05";"March";1996;"Unprovoked";"Australia";"Queensland";"Heron Island";"Water leisure activity";"F";"N"
2883;"1998-07-11";"July";1998;"Unprovoked";"South Africa";"Eastern Cape Province";"St. Francis Bay";"Recreational water sport";"M";"N"
2884;"1996-04-07";"April";1996;"Unprovoked";"Brazil";"Pernambuco";"Boa Viagem, Recife";"Water leisure activity";"M";"Y"
2885;"1998-07-25";"July";1998;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
2886;"1995-03-05";"March";1995;"Unprovoked";"Brazil";"Maranhão";"Praia do Olho D'Água, São Luis";"Water leisure activity";"Not specified";"Y"
2887;"1996-04-25";"April";1996;"Unprovoked";"Australia";"New South Wales";"Mona Vale";"Water leisure activity";"F";"N"
2888;"1998-07-26";"July";1998;"Unprovoked";"Brazil";"Pernambuco";"Boa Viagem, Recife";"Recreational water sport";"M";"N"
2889;"1995-03-11";"March";1995;"Unprovoked";"Australia";"South Australia";"Cactus Beach";"Recreational water sport";"M";"N"
2890;"1996-04-25";"April";1996;"Unprovoked";"Australia";"New South Wales";"Mona Vale";"Water leisure activity";"M";"N"
2891;"1995-03-21";"March";1995;"Unprovoked";"Australia";"New South Wales";"Clark Island, Sydney Harbour";"Recreational water sport";"F";"N"
2892;"1998-08-01";"August";1998;"Unprovoked";"South Africa";"Western Cape Province";"Pringle Bay";"Fishing, catching, or hunting";"M";"N"
2893;"1996-04-28";"April";1996;"Unprovoked";"USA";"Hawaii";"La'ie Point, O'ahu";"Not specified";"M";"Not specified"
2894;"1998-08-01";"August";1998;"Unprovoked";"South Africa";"Western Cape Province";"Buffalo Bay, near Knysna";"Recreational water sport";"M";"N"
2895;"1998-08-12";"August";1998;"Provoked";"South Africa";"Transvaal";"National Zoological Gardens Aquarium, Pretoria";"Fishing, catching, or hunting";"M";"N"
2896;"1995-04-09";"April";1995;"Unprovoked";"Japan";"Aichi Prefecture";"Atsumi Peninsula";"Water leisure activity";"M";"Y"
2897;"1996-05-07";"May";1996;"Unprovoked";"USA";"Florida";"Shark Shallows, Ponce Inlet, Volusia County";"Recreational water sport";"M";"N"
2898;"1995-04-09";"April";1995;"Unprovoked";"Australia";"New South Wales";"Honeysuckle Point, Eden";"Water leisure activity";"M";"N"
2899;"1998-08-13";"August";1998;"Unprovoked";"USA";"Florida";"Ponce Inlet, Volusia County";"Recreational water sport";"M";"N"
2900;"1996-05-10";"May";1996;"Unprovoked";"South Korea";"Unknown";"Unknown";"Water leisure activity";"M";"Y"
2901;"1995-04-13";"April";1995;"Unprovoked";"USA";"Florida";"Ormond Beach, Volusia County";"Not specified";"M";"N"
2902;"1998-08-15";"August";1998;"Unprovoked";"Bahamas";"Berry Islands";"Ambergris Cay";"Fishing, catching, or hunting";"M";"N"
2903;"1996-05-18";"May";1996;"Unprovoked";"USA";"Florida";"South of Ponce Inlet, Volusia County";"Recreational water sport";"M";"N"
2904;"1998-08-23";"August";1998;"Unprovoked";"USA";"Virginia";"Virginia Beach";"Fishing, catching, or hunting";"M";"N"
2905;"1995-04-16";"April";1995;"Invalid";"USA";"Florida";"New Smyrna Beach, Volusia County";"Not specified";"M";"N"
2906;"1996-05-24";"May";1996;"Invalid";"Australia";"New South Wales";"Wreck of paddle steamer, Koputai, 6 km off Bondi Beach";"Water leisure activity";"M";"Y"
2907;"1998-08-26";"August";1998;"Unprovoked";"USA";"California";"Stinson Beach, Marin County";"Recreational water sport";"M";"N"
2908;"1995-05-12";"May";1995;"Unprovoked";"South Korea";"Unknown";"Jangkodo Island";"Water leisure activity";"F";"Y"
2909;"1993-06-30";"June";1993;"Unprovoked";"Brazil";"Pernambuco";"Boa Viagem, Recife";"Water leisure activity";"M";"Y"
2910;"1996-05-28";"May";1996;"Unprovoked";"South Africa";"Western Cape Province";"The Steps, Wilderness";"Recreational water sport";"M";"N"
2911;"1998-08-27";"August";1998;"Invalid";"Italy";"Marches region";"Unknown";"Fishing, catching, or hunting";"Not specified";"N"
2912;"1995-05-18";"May";1995;"Unprovoked";"Australia";"Western Australia";"Bernier Island, Shark Bay";"Not specified";"Not specified";"Not specified"
2913;"1993-07-07";"July";1993;"Unprovoked";"USA";"Florida";"Daytona Beach, Volusia County";"Water leisure activity";"F";"N"
2914;"1996-06-04";"June";1996;"Unprovoked";"South Africa";"KwaZulu-Natal";"LaMercy";"Recreational water sport";"M";"N"
2915;"1998-08-30";"August";1998;"Unprovoked";"USA";"Florida";"Ponce Inlet, Volusia County";"Recreational water sport";"M";"N"
2916;"1998-09-01";"September";1998;"Provoked";"Senegal";"Cap Vert Peninsula";"Yoff Island";"Fishing, catching, or hunting";"M";"N"
2917;"1993-07-30";"July";1993;"Unprovoked";"South Africa";"Eastern Cape Province";"Pollock Beach, Port Elizabeth";"Recreational water sport";"M";"N"
2918;"1995-05-24";"May";1995;"Unprovoked";"Fiji";"Yasawa Islands";"Waya Island";"Sinking or failure of vessel";"M";"Y"
2919;"1998-09-14";"September";1998;"Unprovoked";"USA";"Florida";"Stuart Beach, Martin County";"Recreational water sport";"M";"N"
2920;"1993-08-01";"August";1993;"Boat";"El Salvador";"La Libertad";"La Libertad";"Fishing, catching, or hunting";"Not specified";"Y"
2921;"1996-06-06";"June";1996;"Unprovoked";"Australia";"Victoria";"Suicide Point, Point Leo";"Recreational water sport";"M";"N"
2922;"1995-05-26";"May";1995;"Unprovoked";"USA";"Florida";"Vero Beach, Indian River County";"Recreational water sport";"M";"N"
2923;"1998-09-16";"September";1998;"Unprovoked";"South Africa";"Eastern Cape Province";"Kowie River";"Fishing, catching, or hunting";"M";"N"
2924;"1995-05-31";"May";1995;"Unprovoked";"Hong Kong";"New Territories";"Sai Kung Beach";"Water leisure activity";"Not specified";"Y"
2925;"1996-06-25";"June";1996;"Unprovoked";"USA";"South Carolina";"Fripp Island, Beaufort County";"Recreational water sport";"F";"N"
2926;"1993-08-01";"August";1993;"Unprovoked";"New Caledonia";"South Province";"Ile Moro";"Fishing, catching, or hunting";"M";"Y"
2927;"1998-09-22";"September";1998;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
2928;"1995-06-02";"June";1995;"Unprovoked";"Hong Kong";"New Territories";"Sheung Sze Wan Beach";"Water leisure activity";"M";"Y"
2929;"1993-08-12";"August";1993;"Unprovoked";"USA";"California";"Abalone Point, Westport Union Landing, Mendocino County";"Water leisure activity";"M";"N"
2930;"1998-09-27";"September";1998;"Unprovoked";"USA";"Florida";"The Rocks, Hutchinson Island, Martin County";"Recreational water sport";"M";"N"
2931;"1996-07-04";"July";1996;"Unprovoked";"Bahamas";"Cat Cay";"Unknown";"Water leisure activity";"M";"N"
2932;"1998-10-01";"October";1998;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Not specified";"M";"N"
2933;"1996-07-04";"July";1996;"Unprovoked";"USA";"Florida";"Public Beach, Siesta Key, Sarasota County";"Water leisure activity";"F";"N"
2934;"1995-06-13";"June";1995;"Unprovoked";"Hong Kong";"Clearwater Bay";"First Beach";"Water leisure activity";"F";"Y"
2935;"1998-10-01";"October";1998;"Unprovoked";"Reunion";"Saint-Benoît";"Unknown";"Water leisure activity";"Not specified";"N"
2936;"1996-07-10";"July";1996;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Not specified";"M";"N"
2937;"1993-08-14";"August";1993;"Boat";"Australia";"Western Australia";"Off Rottnest Island";"Fishing, catching, or hunting";"Not specified";"N"
2938;"1995-06-14";"June";1995;"Unprovoked";"USA";"Hawaii";"Opposite Grand Wailea Resort, Wailea, Maui";"Water leisure activity";"M";"N"
2939;"1996-07-14";"July";1996;"Unprovoked";"USA";"Hawaii";"Nakalele Point, Maui";"Not specified";"Not specified";"Not specified"
2940;"1996-07-20";"July";1996;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Water leisure activity";"M";"N"
2941;"1993-08-15";"August";1993;"Unprovoked";"USA";"North Carolina";"Pamlico Sound";"Water leisure activity";"F";"N"
2942;"1995-06-16";"June";1995;"Unprovoked";"USA";"Florida";"Tiger Shores Beach, Martin County";"Water leisure activity";"F";"N"
2943;"1998-10-04";"October";1998;"Unprovoked";"Brazil";"Pernambuco";"Boa Viagem Beach, Recife";"Recreational water sport";"M";"N"
2944;"1995-06-17";"June";1995;"Unprovoked";"USA";"Florida";"Jensen Beach Park, Martin County";"Water leisure activity";"M";"N"
2945;"1996-07-21";"July";1996;"Unprovoked";"USA";"Massachusetts";"Truro (Cape Cod), Barnstable County";"Water leisure activity";"M";"N"
2946;"1998-10-10";"October";1998;"Unprovoked";"USA";"Florida";"Sebastian Inlet, Indian River County";"Recreational water sport";"M";"N"
2947;"1995-06-17";"June";1995;"Unprovoked";"USA";"South Carolina";"Garden City Beach, Horry County";"Recreational water sport";"M";"N"
2948;"1996-07-23";"July";1996;"Unprovoked";"Okinawa";"Miyako";"Hirara City";"Water leisure activity";"M";"Y"
2949;"1998-10-18";"October";1998;"Unprovoked";"South Africa";"Eastern Cape Province";"Glengariff";"Recreational water sport";"M";"N"
2950;"1993-08-15";"August";1993;"Boat";"USA";"California";"Between Santa Cruz Island and Santa Barbara";"Irresponsible or dangerous behavior with sharks";"Not specified";"N"
2951;"1995-06-23";"June";1995;"Unprovoked";"USA";"Georgia";"Tybee Island, Chatham County";"Water leisure activity";"M";"N"
2952;"1996-07-26";"July";1996;"Unprovoked";"USA";"Florida";"Wiggins Pass, Collier County";"Water leisure activity";"F";"N"
2953;"1998-10-24";"October";1998;"Unprovoked";"USA";"Florida";"Jupiter Beach, Palm Beach County";"Water leisure activity";"F";"N"
2954;"1995-06-24";"June";1995;"Unprovoked";"USA";"California";"LaJolla Shores, San Diego County";"Recreational water sport";"F";"N"
2955;"1998-11-02";"November";1998;"Unprovoked";"Brazil";"Pernambuco";"Boa Viagem Beach, Recife";"Recreational water sport";"M";"Y"
2956;"1996-08-11";"August";1996;"Unprovoked";"USA";"Florida";"Bayshore Garden, Sarasota Bay, Sarasota County";"Fishing, catching, or hunting";"M";"N"
2957;"1998-11-02";"November";1998;"Provoked";"Japan";"Southern Japan";"Unknown";"Fishing, catching, or hunting";"M";"N"
2958;"1995-06-30";"June";1995;"Unprovoked";"USA";"California";"Bluefish Cove, Pt. Lobos State Park, Monterey County";"Water leisure activity";"M";"N"
2959;"1996-08-13";"August";1996;"Unprovoked";"USA";"California";"Bird Rock, Tomales Point";"Water leisure activity";"M";"N"
2960;"1995-07-01";"July";1995;"Provoked";"USA";"South Carolina";"Off 29th Avenue, Myrtle Beach, Horry County";"Recreational water sport";"M";"N"
2961;"1998-11-05";"November";1998;"Unprovoked";"USA";"Oregon";"Winchester Bay";"Recreational water sport";"M";"N"
2962;"1996-08-29";"August";1996;"Unprovoked";"USA";"Hawaii";"Paukukalo, Maui";"Recreational water sport";"M";"N"
2963;"1996-09-01";"September";1996;"Provoked";"South Africa";"KwaZulu-Natal";"Hibberdene";"Fishing, catching, or hunting";"M";"N"
2964;"1998-11-11";"November";1998;"Unprovoked";"USA";"Florida";"South Beach Park, Indian River County";"Water leisure activity";"M";"N"
2965;"1995-07-03";"July";1995;"Provoked";"USA";"Mississippi";"Cat Island, Harrison County";"Fishing, catching, or hunting";"F";"N"
2966;"1999-09-16";"September";1999;"Unprovoked";"USA";"Florida";"Cape Canaveral, Brevard County";"Water leisure activity";"F";"N"
2967;"1998-11-14";"November";1998;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
2968;"1995-07-06";"July";1995;"Unprovoked";"USA";"Texas";"Port Aransas";"Recreational water sport";"M";"N"
2969;"1999-09-24";"September";1999;"Boat";"Italy";"Adriatic Sea";"San Benedetto";"Fishing, catching, or hunting";"Not specified";"N"
2970;"1995-07-07";"July";1995;"Unprovoked";"Brazil";"Pernambuco";"Candeias";"Recreational water sport";"M";"Y"
2971;"1998-11-21";"November";1998;"Unprovoked";"USA";"Florida";"Ocean Beach, Jaycee Park, Vero Beach, Indian River County";"Water leisure activity";"M";"Y"
2972;"1996-09-01";"September";1996;"Invalid";"USA";"South Carolina";"Garden City Beach, Horry County";"Recreational water sport";"F";"N"
2973;"1995-07-23";"July";1995;"Unprovoked";"USA";"Florida";"South Jetty, New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
2974;"1998-12-15";"December";1998;"Unprovoked";"Australia";"South Australia";"Middleton Beach";"Recreational water sport";"F";"N"
2975;"1999-09-29";"September";1999;"Unprovoked";"USA";"Florida";"South side of Ponce de Leon Inlet, Volusia County";"Recreational water sport";"M";"N"
2976;"1996-09-02";"September";1996;"Unprovoked";"USA";"Florida";"Bethune Beach, Volusia County";"Recreational water sport";"M";"N"
2977;"1995-07-24";"July";1995;"Unprovoked";"USA";"South Carolina";"Pawleys Island, Georgetown County";"Water leisure activity";"F";"N"
2978;"1998-12-18";"December";1998;"Unprovoked";"South Africa";"Eastern Cape Province";"Kei River Mouth";"Water leisure activity";"M";"N"
2979;"1999-10-01";"October";1999;"Unprovoked";"USA";"Hawaii";"Old Kona Airport State Park";"Recreational water sport";"M";"N"
2980;"1996-09-02";"September";1996;"Unprovoked";"USA";"Florida";"Behune Beach, Volusia County";"Water leisure activity";"M";"N"
2981;"1999-10-20";"October";1999;"Unprovoked";"USA";"Florida";"Pet Den, Satellite Beach, Brevard County";"Recreational water sport";"M";"N"
2982;"1996-09-06";"September";1996;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
2983;"1995-07-28";"July";1995;"Unprovoked";"USA";"South Carolina";"Pawleys Island, Georgetown County";"Not specified";"M";"N"
2984;"1998-12-20";"December";1998;"Unprovoked";"South Africa";"Eastern Cape Province";"King's Beach, Port Elizabeth";"Recreational water sport";"M";"N"
2985;"1996-09-06";"September";1996;"Unprovoked";"New Zealand";"Chatham Islands";"Waihere Bay";"Water leisure activity";"M";"N"
2986;"1999-10-30";"October";1999;"Unprovoked";"USA";"Florida";"Gulfstream Park beach, Palm Beach County";"Recreational water sport";"M";"N"
2987;"1998-12-22";"December";1998;"Unprovoked";"Australia";"South Australia";"Middleton Beach";"Water leisure activity";"F";"N"
2988;"1995-07-28";"July";1995;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Water leisure activity";"M";"N"
2989;"1996-09-18";"September";1996;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Water leisure activity";"M";"N"
2990;"1999-10-30";"October";1999;"Unprovoked";"USA";"Florida";"Daytona Beach, Volusia County";"Recreational water sport";"M";"N"
2991;"1995-07-28";"July";1995;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
2992;"1999-11-01";"November";1999;"Unprovoked";"Marshall Islands";"Alinglaplap Atoll";"Island J4H";"Water leisure activity";"M";"N"
2993;"1995-07-28";"July";1995;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
2994;"1998-12-24";"December";1998;"Provoked";"USA";"Florida";"Ormond Beach, Volusia County";"Recreational water sport";"M";"N"
2995;"1999-11-01";"November";1999;"Unprovoked";"Marshall Islands";"Alinglaplap Atoll";"Island J4H";"Water leisure activity";"M";"N"
2996;"1996-10-01";"October";1996;"Unprovoked";"Brazil";"Pernambuco";"Unknown";"Not specified";"Not specified";"N"
2997;"1995-07-28";"July";1995;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Recreational water sport";"M";"N"
2998;"1999-01-03";"January";1999;"Unprovoked";"Reunion";"Saint-Leu";"Pointe au Sel";"Fishing, catching, or hunting";"Not specified";"Y"
2999;"1995-08-01";"August";1995;"Invalid";"USA";"California";"Carmel, Monterey County";"Water leisure activity";"M";"N"
3000;"1999-11-06";"November";1999;"Unprovoked";"Brazil";"Rio de Janeiro";"Rio de Janeiro, Guanabara Bay";"Fishing, catching, or hunting";"M";"N"
3001;"1996-10-03";"October";1996;"Unprovoked";"USA";"California";"North Salmon Creek Beach, Sonoma County";"Recreational water sport";"M";"N"
3002;"1999-01-03";"January";1999;"Invalid";"Australia";"Northern Territory";"Gulf of Carpenteria";"Fishing, catching, or hunting";"F";"N"
3003;"1995-08-01";"August";1995;"Invalid";"Tonga";"Vava’u";"Neiafu";"Fishing, catching, or hunting";"M";"N"
3004;"1996-10-03";"October";1996;"Unprovoked";"USA";"Florida";"Cocoa Beach, Brevard County";"Recreational water sport";"M";"N"
3005;"1999-11-13";"November";1999;"Unprovoked";"South Africa";"KwaZulu-Natal";"Umtentweni";"Recreational water sport";"M";"N"
3006;"1999-01-07";"January";1999;"Boat";"New Zealand";"North Island";"Papamoa, near Tauranga, Bay of Plenty";"Sinking or failure of vessel";"Not specified";"N"
3007;"1996-10-05";"October";1996;"Unprovoked";"USA";"California";"Dillon Beach, Marin County";"Recreational water sport";"M";"N"
3008;"1999-11-15";"November";1999;"Unprovoked";"USA";"California";"Waddell Reef, Santa Cruz County";"Recreational water sport";"M";"N"
3009;"1999-01-13";"January";1999;"Unprovoked";"South Africa";"Eastern Cape Province";"Bonza Beach";"Recreational water sport";"M";"N"
3010;"1996-10-09";"October";1996;"Unprovoked";"Okinawa";"Miyako Island";"Boragawa Beach";"Water leisure activity";"M";"Y"
3011;"1999-11-23";"November";1999;"Unprovoked";"USA";"Hawaii";"Big Island off Kona Village Resort, North Kona";"Water leisure activity";"F";"N"
3012;"1995-08-07";"August";1995;"Unprovoked";"USA";"Florida";"Ponce de Leon Inlet, Volusia County";"Recreational water sport";"M";"N"
3013;"1999-01-29";"January";1999;"Unprovoked";"Mauritius";"Unknown";"Belle-Mare";"Fishing, catching, or hunting";"M";"N"
3014;"1996-10-28";"October";1996;"Unprovoked";"Brazil";"Pernambuco";"Barra de Jangada";"Recreational water sport";"M";"N"
3015;"1999-11-30";"November";1999;"Unprovoked";"USA";"Florida";"Palm Beach, Palm Beach County";"Recreational water sport";"M";"N"
3016;"1995-08-10";"August";1995;"Unprovoked";"USA";"South Carolina";"Ocean Lakes Campground, south of Myrtle Beach, Horry County";"Recreational water sport";"F";"N"
